code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	ingredients_text	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	main_category	image_url	image_small_url	energy_100g	proteins_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fat_100g	saturated-fat_100g	monoinsaturated-fat_100g	polyinsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	trans-fat_100g	cholesterol_100g	fiber_100g	sodium_100g	alcohol_100g	vitamin-a_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	carbon-footprint_100g																																																																	
7613033536878	http://fr.openfoodfacts.org/produit/7613033536878	balise	1338798691	1344080879	2 Gourmet Filets Au Citron Findus	Filets de dos de Cabillaud dans une sauce au beurre	300g	carton	sachet cuisson	surgelé	carton	sachet-cuisson	surgele	Findus	findus	surgelé	Cabillauds	plats préparés surgelés	produits-de-la-mer	poissons	surgeles	plats-prepares	cabillauds	plats-prepares-surgeles			MSC	peche-durable	peche-durable-msc							Filet de Cabillaud 80% [Gadus morhua morhua] (pêche sauvage	 océan Atlantique nord-est)	 beurre 8.7%	 eau	 huile végétale (colza)	 persil	 amidon	 sel de cuisine	 émulsifiant (lécithine de soja)	 arôme	 épice.  			150g		1		e322	0			1		huile-vegetale	Plats préparés surgelés	http://fr.openfoodfacts.org/images/products/761/303/353/6878/front.8.400.jpg	http://fr.openfoodfacts.org/images/products/761/303/353/6878/front.8.200.jpg	605	15.1	0.4	0.1			9.3	4.9							0	0.15																																																																										
3270160716753	http://fr.openfoodfacts.org/produit/3270160716753	eglantine	1361721495	1361722762	30 mini-feuilletés apéritifs	Apéritif	405 g	Surgelé	surgele	Picard	picard	Apéritif	Feuilleté	aperitif	feuillete									Paris	France	Picard	Pâte feuilletée : farine de blé type 65	 margarine végétale (graisses et huiles de palme	 eau	 sel) émulsifiant : mono- et diglycérides d'acides gras	 acidifiant : acide citrique)	 eau	 sel	 lactose	 protéine de lait	 œuf entier pasteurisé en poudre	 crème en poudre	 lait écrémé en poudre	 graine de pavot	 persil	 épices et extraits d'épices (contient paprika)  Garniture 33	6% : eau	 courgette 10	6%	 fromage de chèvre 9	3%	 oignon 7	9%	 préparation pour sauce béchamel (amidon transformé de pomme de terre	 lactosérum	 lactose	 protéine de lait	 lait écrémé en poudre	 graisse de palme	 farine de blé	 sel	 poivre	 muscade)	 préparation à base de courgettes 6	2% (courgette grillée 77%	 huile de tournesol	 jus de citron concentré	 eau	 huile d'olive vierge extra	 sel	 ail	 menthe 0	2%	 extrait naturel de citron)	 lardon cuit 5	9% (poitrine de porc 92%	 sel	 dextrose de blé	 acidifiant : acide citrique	 conservateurs : erythorbate de sodium	 nitrite de sodium)	 crème fraiche	 tomate séchée 4	7% (tomate 93%	 huile de colza	 sel	 origan	 ail)	 moutarde à l’ancienne 3	1% (eau	 graines de moutarde	 vinaigre d’alcool	 sel	 vin blanc	sucre	 épices	 acidifiant : acide citrique	 conservateur : disulfite de potassium)	 fromage frais	 coulis de tomate 1	9%	 amidons transformés de pomme de terre	 fibres de pousse de bambou	 noix hachée 1	7%	 huile de tournesol	 huile d'olive vierge extra	 œuf entier pasteurisé en poudre	 sel	 poivre	 menthe 0.02%.	Crustacés	Poissons	Soka	Mollusques	Sésame	Céleri	crustaces	poissons	soka	mollusques	sesame	celeri			5		e471	e330	e316	e250	e224	1		huile-de-palme	1		e471-mono-et-diglycerides-d-acides-gras-alimentaires	Apéritif	http://fr.openfoodfacts.org/images/products/327/016/071/6753/front.5.400.jpg	http://fr.openfoodfacts.org/images/products/327/016/071/6753/front.5.200.jpg	1268	6	27.1	1.4			18.9	10							0.7	0.4
3515452308316	http://fr.openfoodfacts.org/produit/3515452308316	christophe	1340224318	1353111691	34 Biscottes complètes	Biscotte	300 g	Carton	plastique	carton	plastique	Carrefour	carrefour	biscottes	pains	biscottes	France	france	AB	Bio européen	bio	bio-europeen	ab-agriculture-biologique	EMB 34274L	EMB 49246C	emb-34274l	emb-49246c		saint-martin-de-londres-herault-france	ponts-de-ce-maine-et-loire-france	France	Paris	Carrefour	Farine de blé complet* 98%	 matière grasse végétale de palme*	 levure	 sucre*	 gluten de blé*	 sel	 agent de traitement de la farine : acide ascorbique	fruits à coque	lait	oeuf	sésame	soja	fruits-a-coque	lait	oeuf	sesame	soja	4 biscottes 35g		1		e300	0			1		huile-vegetale	Biscottes	http://fr.openfoodfacts.org/images/products/351/545/230/8316/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/351/545/230/8316/front.6.200.jpg	1620	15	63	4			6	2.5	2	1.5			0		9	0.5																																																																								
3560070308316	http://fr.openfoodfacts.org/produit/3560070308316	estlay	1343147737	1353331556	34 Biscottes complètes	Biscottes complètes issues de l'agriculture biologique	300 g	2 sachets dans un carton	2-sachets-dans-un-carton	Carrefour Bio	carrefour-bio	Bio	Biscottes	pains	biscottes	bio	France	france	AB	Bio européen	bio	bio-europeen	ab-agriculture-biologique	EMB 34274L	EMB 49246C	emb-34274l	emb-49246c		saint-martin-de-londres-herault-france	ponts-de-ce-maine-et-loire-france	Pau	France	Carrefour market pépinière	Farine de blé complet* 89%	 huile végétale de tournesol*	 sucre*	 levure	 sel	 gluten de blé*	 agent de traitement de la farine : acide ascorbique. *biologique	fruits à coque	lait	oeuf	soja	fruits-a-coque	lait	oeuf	soja	4 biscottes 35 gA		1		e300	0			1		huile-vegetale	Biscottes			1596	15	64	4			5	0.5	3.5	1			0.03		8.5	0.5																																																																										
3255143274109	http://fr.openfoodfacts.org/produit/3255143274109	andre	1345141814	1347211018	4 Bouchées Traiteur	Bouchées	150 g	Boite plastique	boite-plastique	Les Petits Fourneaux	les-petits-fourneaux	Patisserie	Bouchées	patisseries	bouchees	France	france							Saint-Esteve	Intermarché	Farine de blé	 beurre pâtissier 32% (colorant : bêtacarotène E160a)	 sel	 œufs	 poudre à lever : carbonate acide de sodium E500ii			1 bouchée 37.5g		2		e160a	e500	0			1		e160a-beta-carotene	Pâtisseries	http://fr.openfoodfacts.org/images/products/325/514/327/4109/front.4.400.jpg	http://fr.openfoodfacts.org/images/products/325/514/327/4109/front.4.200.jpg	2238	7.1	48.2				34.1																																																																																																		
20006303	http://fr.openfoodfacts.org/produit/20006303	manu1400	1342214177	1346184854	4 Muffins cacao avec pépites de chocolat	Gateau cacao avec morceau de chocolat	300g	plastique	sachet plastique	autre	plastique	sachet-plastique	autre	MCENNEDY American Way	Lidl	mcennedy-american-way	lidl	gateaux au chocolat	muffins	Gâteaux	gateaux	gateaux-au-chocolat	muffins	Allemagne	allemagne							Eure-et-Loir	France	Lidl	sucre	 oeuf entier	 farine de blé	 huile végétale	 morceaux de chocolat 10% (sucre	 pâte de cacao	 beurre de cacao	 émulsifiant : lécithine de soja)	 matière grasse végétale	 farine de riz	 amidon de blé	 agent humectant : glycérol	 cacao dégraissé en poudre 2.5%	 émulsifiant : mono- et dicygérides d'acides gras alimentaires	 stéaroyl-2-lactylate de sodium	 poudre à lever : diphosphate disodique	 carbonate acide de sodium	 correcteur d'acidité : acétates de sodium	 sel	 arôme naturel	 épaississant : gomme xanthane	lait	fruits à coque	arachide	lait	fruits-a-coque	arachide			6		e322	e422	e481	e450	e500	e415	0			2		huile-vegetale	e481-stearoyl-2-lactylate-de-sodium	Gâteaux			1749	5.4	43.9	27.5			24.1	6.5							2.4	0.3																																																							
3392590202399	http://fr.openfoodfacts.org/produit/3392590202399	lilimarti	1334536623	1341440307	4 croissants	Croissants	240g	Frais	frais	Croustipate	croustipate	Viennoiseries	viennoiseries											Farine de blé	 eau	 margarine [huiles et graisses végétales	 eau	 émulsifiants : mono et diglycérides d'acides gras	 sel	 acidifiant : acide citrique	 colorant : bêta-carotène]	 dextrose	 gluten de blé	 poudre à lever (glucono-delta-lactone	 carbonate acide de sodium	 diphosphate disodique)	 beurre	 sucre	 sel	 arômes	 stabilisants : alginate de sodium	 agent de traitement de la farine : acide ascorbique.					7		e471	e330	e575	e500	e450	e401	e300	0			3		e471-mono-et-diglycerides-d-acides-gras-alimentaires	e160a-beta-carotene	huile-vegetale	Viennoiseries	http://fr.openfoodfacts.org/images/products/339/259/020/2399/front.8.400.jpg	http://fr.openfoodfacts.org/images/products/339/259/020/2399/front.8.200.jpg	343	7.7	34.4	5.4			19.4	10.2							1.8	0.7																																																																						
5413548140940	http://fr.openfoodfacts.org/produit/5413548140940	stephane	1333816810	1360716110	6 Kinder Surprise	Confiserie recouverte de chocolat supérieur au lait contenant une surprise dans une capsule plastique	6 x 20 g = 120 g			Kinder	Kinder Surprise	Ferrero	kinder	kinder-surprise	ferrero	Confiserie	Confiserie au chocolat	Confiserie au chocolat au lait	confiseries	confiserie-au-chocolat-au-lait	confiserie-au-chocolat											chocolat supérieur au lait 47% (sucre	 lait en poudre	 beurre de cacao	 pâte de cacao	 émulsifiants : lécithines [soja]	 vanilline)	 lait écrémé en poudre	 sucre	 graisses végétales	 beurre concentré	 émulsifiants : lécithines [soja]	 vanilline.  Sur le total : produits laitiers 32% (lait écrémé en poudre	 lait en poudre : 28%	 beurre concentré 4%) — cacao 15%					1		e322	0			1		huile-vegetale	Confiseries	http://fr.openfoodfacts.org/images/products/541/354/814/0940/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/541/354/814/0940/front.6.200.jpg																																																																																											
3564700563779	http://fr.openfoodfacts.org/produit/3564700563779	stephane	1347810472	1352416796	6 barres de céréales Chocolat au lait Noix de coco	 aux 3 céréales		125g	carton	carton	Brin de jour	Marque repère	brin-de-jour	marque-repere	Barre de céreales	barres	barres-de-cereales											Céréales 37% (flocons d'avoine	 farine de blé 9%	 pétales de blé complet 8% (blé complet	 sel	 extrait de malt d'orge)	 farine de riz]	 sirop de glucose	 chocolat au lait de couverture 15% (sucre	 beurre de cacao	 pâte de cacao	 poudre de lait écrémé	 matière grasse de lait)	 noix de coco 5%	 dextrine de blé	 huile de palme	 noisettes	 stabilisant : sorbitol (issu de blé)	 dextrose	 sucre	 caramel (sucre)	 sel	 arôme	 émulsifiant : E473	sulfites	arachides	fruits à coque	sulfites	arachides	fruits-a-coque	1 barre 20g		3		e420	e150a	e473	1		huile-de-palme	0			Barres	http://fr.openfoodfacts.org/images/products/356/470/056/3779/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/356/470/056/3779/front.6.200.jpg	1760	6.5	57	24			17	9							7.5	0.072																																																																
3270160393107	http://fr.openfoodfacts.org/produit/3270160393107	stephane	1356341493	1363729630	6 beignets de crevette avec sauce aigre-douce	beignets de crevette avec sauce aigre-douce	 préfrits	 surgelés	110g	carton	carton	Cuisine évasion	cuisine-evasion	plats préparés surgelés	plats-prepares	plats-prepares-surgeles	France	france			FR 27.701.006 CE	EMB 27701E	fr-27-701-006-ce	emb-27701e		val-de-reuil-eure-france	val-de-reuil-eure-france			beignets de crevette (90g) (crevette décortiquée 50%	 eau	 fécule de pomme de terre	 farine de blé	 huiles végétales (tournesol	 pépins de raisin	 colza)	 poudres à lever (diphosphate disodique	 carbonate acide de sodium)	 épaississants (gomme xanthane	 gomme guar)	 levure	 sel	 farine de fève	 gluten de blé	 farine de blé malté	 levure désactivée	 dextrose de maïs et/ou de blé)	 Sauce aigre-douce (20 g) (eau	 sucre	 concentré de tomate	 amidon transformé de manioc	 vinaigre	 sel	 oignon en poudre	 arôme naturel de poivron)	œuf	poissons	soja	lait	fruits à coque	céleri	sésame	mollusques	oeuf	poissons	soja	lait	fruits-a-coque	celeri	sesame	mollusques			4		e450	e500	e415	e412	0			1		huile-vegetale	Plats préparés surgelés	http://fr.openfoodfacts.org/images/products/327/016/039/3107/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/327/016/039/3107/front.6.200.jpg	1225	9.2	21.1	2.7			19	1.8							1.1	0.3																																																
3353703850074	http://fr.openfoodfacts.org/produit/3353703850074	stephane	1343746008	1343746301	6 galettes aux pommes		280 g	Sachet	Plastique	sachet	plastique	Crêperie de Langadoué	creperie-de-langadoue	Galettes	crepes-et-galettes	galettes	Redené	France	redene	france			FR 29.234.600 CE	fr-29-234-600-ce		redene-finistere-france	France	Muzillac	Carrefour	Pommes 30%	 lait	 farine de froment	 sucre	 oeuf	 farine de blé noir	 sel	 huile végétale (Tournesol)					0			0			1		huile-vegetale	Crêpes et galettes	http://fr.openfoodfacts.org/images/products/335/370/385/0074/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/335/370/385/0074/front.6.200.jpg																																																																																																			
20208110	http://fr.openfoodfacts.org/produit/20208110	manu1400	1342216280	1342216675	8 Crêpes chocolat	Crêpes au chocolat	256g (8 X 32g)	plastique	sachets fraîcheur	plastique	sachets-fraicheur	Délices de Kerloch	Lidl	delices-de-kerloch	lidl	crêpes	crepes-et-galettes	crepes	France	france	sans conservateur	sans-conservateur	FR 29.181.601 CE	fr-29-181-601-ce		plouedern-finistere-france	France	Lidl	crêpe 62.5% (lait frais entier	 farine de blé	 sucre	 oeufs frais	 beurre concentré	 matières grasses végétales	 sel	 farine de sarrasin	 sirop de sucre inverti)	 fourrage chocolat 37.5% (sucre	 matières grasses végétales	 chocolat 10% (cacao maigre en poudre	 pâte de cacao	 sucre	 émulsifiant : lécithine de soja	 arôme)	 lactose	 lait écrémé en poudre	 cacao maigre en poudre	 pâte de noisettes			une crêpe	 32g		1		e322	0			1		huile-vegetale	Crêpes et galettes			1912	7.5	57	32.2			21.5	8							2.5	0.4																																																																							
3392590202405	http://fr.openfoodfacts.org/produit/3392590202405	lilimarti	1334537398	1341751389	8 Petits pains au chocolat 	Petits pains au chocolat	290g	Frais	frais	Croustipate	croustipate	Viennoiseries	viennoiseries											Farine de blé	 eau	 chocolat 17% [sucre	 pâte de cacao	 beurre de cacao	 émulsifiant : lécithine	 arôme : vanille]	 margarine [huiles et graisses végétales	 eau	 émulsifiants : mono et diglycérides d'acides gras	 sel	 acidifiant : acide citrique	 colorant : bêta-carotène]	 dextrose	 gluten	 poudres à lever [glucono-delta-lactone	 carbonate acide de sodium	 diphosphate disodique]	 sucre	 beurre	 sel	 arômes	 stabilisant : alginate de sodium	 agent de traitement de la farine : acide ascorbique	 huile végétale.					8		e322	e471	e330	e575	e500	e450	e401	e300	0			3		e471-mono-et-diglycerides-d-acides-gras-alimentaires	e160a-beta-carotene	huile-vegetale	Viennoiseries	http://fr.openfoodfacts.org/images/products/339/259/020/2405/front.4.400.jpg	http://fr.openfoodfacts.org/images/products/339/259/020/2405/front.4.200.jpg	370	7.4	39.6	13.9			19.9	11							1.8	0.8																																																															
8727200502005	http://fr.openfoodfacts.org/produit/8727200502005	lmm82	1364296124	1364297052	8 Tortillas de Blé Nature	Galettes de blé souples	326 g	Plastique	plastique	Old-El-Paso	old-el-paso			Europe	europe							Châtillon	Carrefour	Farine de Blé (60%)	 eau	 stabilisant : glycérol	 huile végétale	 poudre à lever : carbonate acide de sodium	 diphosphate disodique 	 émulsifiant : mono-diglycérines d'acides gras	 dextrose	 sel	 conservateur : sorbate de potassium. Contient des ingrédients à base de blé.			1 tortilla		4		e422	e500	e450	e202	0			1		huile-vegetale		http://fr.openfoodfacts.org/images/products/872/720/050/2005/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/872/720/050/2005/front.3.200.jpg	1325	8.3	53	2			7.2	3							2	0.56																																																																																				
